first_name,last_name,birthdate,height,club_member
Donna,Dean,4/27/2010,196.9,true
Deborah,Hanson,10/24/1971,187.8,true
Joshua,Mcdonald,12/22/1966,142.5,true
Virginia,Wright,2/10/1982,156.2,false
Samuel,Wright,9/10/1996,179.7,false
James,Garrett,11/15/1969,163.2,true
Richard,Duncan,11/30/2015,144.3,true
Brenda,Black,4/7/1969,169.9,true
Ashley,Dean,1/9/2006,163.3,false
Aaron,Hudson,3/18/1993,158.7,false
David,Williamson,4/27/1969,160.8,false
Lisa,Lynch,3/15/1956,192.8,true
Tina,Elliott,8/15/1972,189,true
Ralph,Davis,11/5/1952,179.4,false
Judith,Murray,6/29/1980,170.8,true
Eric,Turner,11/9/2006,183.6,false
Earl,Stewart,4/19/1978,145.3,false
Kelly,Gomez,8/24/1997,150.1,false
Justin,Armstrong,7/13/2009,168.9,true
Catherine,Vasquez,8/6/1952,140.3,true
Janice,Gonzales,8/7/1955,169.7,false
Debra,Smith,7/27/1966,172,true
Brian,Rivera,4/4/1994,162.4,false
Bobby,Collins,10/4/1978,173.9,true
Teresa,Diaz,2/12/1999,160.7,false
Maria,Hunter,3/20/1958,173.6,true
Jack,Lee,2/28/1971,143.3,true
Debra,Jacobs,9/24/1969,183.4,true
Terry,Reynolds,1/11/1980,169,true
Gregory,Hamilton,2/8/2012,170.5,false
Howard,Black,8/10/2011,186.4,true
Evelyn,Ramirez,12/6/1973,192.7,true
Joshua,Rice,4/19/1966,154.2,true
Richard,Carter,10/13/1970,182.1,true
Doris,Sims,9/9/1960,184.9,false
Nicholas,Larson,1/8/1973,168.6,false
Edward,Morgan,1/12/2014,154.7,true
Sara,Fox,12/24/1998,159.7,false
Teresa,Snyder,5/17/1988,153.5,false
Stephanie,Gutierrez,5/3/2015,181.6,false
Walter,Murphy,9/22/1998,165.1,true
Julia,Wood,5/27/1975,143.7,false
Shirley,Schmidt,9/13/1959,141.5,false
Kelly,Matthews,3/19/2010,175.8,true
Shawn,Rodriguez,1/7/2008,182.9,false
Shawn,Moreno,11/10/1989,143.6,true
Carl,Hayes,12/30/1989,199,false
Eric,Mills,6/25/1984,148.6,false
Angela,Richardson,7/14/1986,188,false
David,Day,2/12/2016,171.9,false
Joyce,Dixon,6/27/2004,173.9,false
Lori,Porter,9/9/1961,179.8,false
Bobby,Myers,12/25/1956,155.6,true
Antonio,Holmes,1/20/1956,179.2,false
Paula,Bailey,8/10/1995,183.8,false
Joyce,Ortiz,10/20/1997,179.1,true
Betty,Butler,9/16/1962,185.4,false
Richard,Warren,3/27/1967,158.6,true
Bonnie,Reyes,8/26/1996,193.2,false
Wanda,Richardson,7/13/1997,171.9,true
Billy,Gordon,6/4/1966,164.6,true
Charles,Martin,6/27/2015,145,false
Carlos,Fox,12/24/1978,182.2,false
Albert,Day,12/1/1952,151.9,false
Rachel,Bishop,5/17/1987,154.6,false
Jessica,Webb,1/19/2006,142.7,false
Ashley,Miller,6/14/2000,163.7,false
Earl,Owens,2/17/1961,193,true
Jennifer,Richardson,3/17/2005,153.8,true
Juan,James,5/24/1976,175.8,true
Roy,Watson,7/24/2007,192.4,false
Joshua,Bowman,12/20/1984,159.9,true
Jessica,Hanson,3/3/1979,190.3,true
Shawn,Armstrong,8/13/1982,153.7,false
Shawn,Henry,6/13/1954,189.8,false
Norma,Gonzalez,5/21/1989,140.9,false
Russell,Hunter,9/20/1978,161.6,false
Earl,Morgan,3/20/2012,181.1,true
Daniel,George,5/17/1999,184.6,false
Lois,Owens,4/29/1986,150,true
Diane,Hawkins,1/11/2013,166.1,false
Mildred,Brooks,7/9/1979,151.3,true
Adam,Cruz,7/14/1987,171.6,true
Kathryn,Wilson,10/1/1973,160.7,false
Martha,Gilbert,12/31/1965,193.6,false
Jacqueline,Hanson,4/23/1967,155.6,false
Cynthia,Rose,4/19/1998,152.9,true
Charles,Walker,3/23/1966,147.2,false
Jennifer,Ruiz,5/20/1968,140.3,false
Ralph,Black,9/14/1992,195.9,true
Bobby,Pierce,3/17/1962,146.3,true
Christina,Fox,6/3/1958,195,false
Jonathan,Ellis,6/10/1982,180.6,false
Richard,Alexander,1/28/1991,169.6,true
Gerald,King,7/1/1995,167.7,false
Elizabeth,Peterson,12/23/1978,144.5,true
Carlos,Rivera,10/1/1990,190.9,false
Howard,Green,5/16/1982,169.3,false
Dennis,Clark,5/14/1976,170,false
Ralph,Bell,5/7/1959,180,true
Diane,Ford,12/7/2000,170.5,false
Nicholas,Chapman,3/24/1984,179.1,true
Linda,George,9/5/1958,147.4,true
Anthony,Pierce,3/8/1968,155.6,true
Sean,Castillo,11/26/1973,172.3,false
Michael,Brown,12/2/2000,147.8,false
Steven,Ellis,11/14/1990,171,true
Julie,Vasquez,2/20/2003,166,false
Eugene,Martin,9/9/1979,193.1,true
Eric,Ortiz,11/6/1977,149.3,false
Melissa,Watkins,4/25/1962,157.1,true
Helen,Carter,8/29/1985,155.9,true
Jimmy,Weaver,12/7/1961,194.5,false
Cynthia,Richardson,2/15/1950,182.4,true
Jeffrey,Arnold,10/20/1984,182.2,false
Bruce,Reyes,6/10/1971,146.2,false
Anna,Hamilton,7/31/1998,163.7,true
Kenneth,Williamson,9/26/2005,197.7,false
Judith,Simpson,3/17/1969,154.4,true
Nancy,Harper,3/4/1981,192.7,false
Adam,Lynch,12/25/1972,141.7,true
Paula,Wells,6/11/1957,169.7,false
Theresa,Wheeler,4/13/1988,199,false
Albert,Powell,2/13/1993,155,true
Clarence,Bailey,6/4/2016,154.1,true
Ernest,Romero,8/6/1963,153.5,true
Doris,Foster,12/21/1957,187.2,false
Nancy,Mcdonald,8/20/1958,165.7,false
Lori,Welch,4/1/1987,148.1,false
Samuel,Black,5/16/1950,149.7,true
Patricia,Fuller,8/19/1968,152.3,false
Irene,Lane,6/13/1959,196.2,true
Anthony,Carter,5/30/1968,175.5,false
Paul,Stephens,1/7/1951,144.6,false
Roy,Nelson,5/3/1970,198.8,false
Susan,Fields,3/16/1993,197.8,true
Elizabeth,Kelly,10/6/1951,190.9,false
Karen,Dean,3/5/1983,196.1,false
Gerald,Torres,9/21/2004,141.9,true
Timothy,Fowler,3/19/1967,152,false
Jerry,Garcia,11/24/2006,174.4,false
Brenda,Alexander,10/2/1990,156.2,true
Jerry,Simpson,7/28/1999,140.2,true
Ryan,Hart,7/17/2014,179.4,false
Margaret,Cunningham,10/1/2000,179.7,true
Albert,Lawson,3/24/1997,166,false
Gary,Cole,8/15/2013,156.5,false
Gary,Rodriguez,1/21/1968,185.8,true
Donna,Romero,5/23/1982,154.3,false
Gloria,George,7/24/1974,197.6,true
Douglas,Moreno,3/4/1961,143,false
Russell,Lopez,2/23/1967,195.6,false
Douglas,Webb,7/26/1968,158.7,true
Christopher,Palmer,10/29/1953,150.6,true
Fred,Kelley,2/8/1998,161.1,true
Brian,Daniels,4/18/1954,170,false
Anthony,Larson,1/11/1955,170.2,true
Anthony,Wheeler,4/28/1972,173.2,true
Bobby,Cook,5/26/2006,178.1,true
Catherine,Hunter,8/15/1968,192.1,true
Edward,Scott,1/13/1994,188.6,true
Phillip,Hayes,9/23/1994,165.3,true
Todd,Burton,8/16/1978,150.6,true
Jack,Berry,1/15/2000,199.5,false
